Fid, deborah_integration_delay 
80, Infinity
70, Infinity
54, 0.872941
149, Infinity
132, Infinity
88, Infinity
130, Infinity
0, Infinity
19, Infinity
49, Infinity
17, Infinity
135, Infinity
21, Infinity
42, Infinity
133, Infinity
33, Infinity
65, Infinity
124, Infinity
47, Infinity
89, Infinity
92, Infinity
86, Infinity
144, Infinity
71, Infinity
79, Infinity
15, Infinity
127, Infinity
10, Infinity
39, Infinity
85, Infinity
75, Infinity
94, Infinity
4, Infinity
32, Infinity
73, Infinity
83, Infinity
59, Infinity
35, Infinity
27, Infinity
100, Infinity
125, 2.269328
43, Infinity
98, Infinity
129, Infinity
61, Infinity
36, 0.7
20, Infinity
84, Infinity
11, Infinity
136, Infinity
28, Infinity
13, 1.498
145, Infinity
12, Infinity
9, Infinity
119, Infinity
115, Infinity
41, Infinity
121, 0.872941
30, Infinity
142, Infinity
31, 2.29985
104, Infinity
91, Infinity
46, Infinity
150, Infinity
74, Infinity
40, Infinity
99, 4.023812
111, Infinity
97, Infinity
62, Infinity
113, Infinity
105, 0.7
48, Infinity
81, Infinity
77, Infinity
38, Infinity
29, Infinity
78, Infinity
22, Infinity
118, Infinity
1, Infinity
18, Infinity
101, Infinity
140, Infinity
128, Infinity
96, Infinity
34, Infinity
52, Infinity
139, 0.7
51, Infinity
57, Infinity
107, Infinity
23, Infinity
45, Infinity
67, Infinity
116, Infinity
112, Infinity
2, Infinity
58, 1.498
102, Infinity
143, Infinity
50, Infinity
76, Infinity
114, Infinity
131, Infinity
3, Infinity
106, Infinity
95, Infinity
134, Infinity
87, Infinity
137, Infinity
146, Infinity
44, Infinity
60, Infinity
14, Infinity
24, Infinity
109, Infinity
123, Infinity
5, Infinity
151, Infinity
55, 1.728125
72, Infinity
64, Infinity
93, Infinity
148, Infinity
147, Infinity
8, Infinity
122, Infinity
108, Infinity
6, Infinity
138, Infinity
90, Infinity
103, Infinity
68, 0.872941
37, Infinity
141, Infinity
63, 2.269328
117, Infinity
110, Infinity
120, Infinity
16, Infinity
53, Infinity
56, Infinity
25, Infinity
82, Infinity
126, Infinity
26, Infinity
69, Infinity
66, Infinity
7, Infinity
